Ticker,Last,Volume,Sector
FISV,86.03,2841518,Industrials
FIVE,117.01,658932,Consumer Cyclicals
FIVN,53.49,1198509,Technology
FIZZ,59.36,1229577,Consumer Non-Cyclicals
FL,59.85,3265401,Consumer Cyclicals
FLIR,50.55,805255,Technology
FMC,78.44,927887,Basic Materials
FNV,77.07,542106,Basic Materials
FOX,50.27,4449650,Consumer Cyclicals
FOXA,50.53,8073626,Consumer Cyclicals
FSLR,53.62,1748673,Energy
FTNT,82.56,1428950,Technology
FTV,82.18,1472684,Technology
GBT,51.27,691175,Healthcare
GD,169.51,1443774,Industrials
GDDY,74.27,1286211,Technology
GDOT,58.2,650278,Financials
GH,66.82,569633,Healthcare
GHDX,75.08,569378,Healthcare
GILD,64.34,5207502,Healthcare
GOOG,1175.76,1719099,Technology
GOOGL,1179.26,1501445,Technology
GOOS,51.93,1812626,Consumer Cyclicals
GPC,106.36,850814,Consumer Cyclicals
GPN,131.89,843422,Industrials
GRMN,83.86,1162132,Industrials
GRUB,76.35,2946777,Technology
GS,195.97,2668314,Financials
GWR,87.53,3109350,Industrials
GWRE,89.96,1013645,Technology
H,72.35,744077,Consumer Cyclicals
HAS,87.08,979880,Consumer Cyclicals
HCA,125.89,3132982,Healthcare
HD,182.44,3866236,Consumer Cyclicals
HES,55.93,4506440,Energy
HFC,50.07,2314021,Energy
HII,200.52,567145,Industrials
HLF,57.4,1187819,Consumer Non-Cyclicals
HLT,82.8,2246253,Consumer Cyclicals
HON,153.19,2792821,Industrials
HP,54.27,1045315,Energy
HQY,78.05,594758,Healthcare
HRS,163.23,1158668,Technology
HSIC,59.93,1963355,Healthcare
HSY,111.39,748268,Consumer Non-Cyclicals
HUBS,166.04,519731,Technology
HUM,273.1,1236565,Healthcare
HXL,69.57,1121037,Industrials
IAC,207.95,686789,Technology
IBM,137.71,3939517,Technology
ICE,72.55,2642348,Financials
ICPT,104.85,614146,Healthcare
IDXX,204.72,506416,Healthcare
IFF,126.34,626493,Consumer Non-Cyclicals
ILMN,300.18,697443,Healthcare
INCY,84.17,1256430,Healthcare
INFO,53.62,1819720,Industrials
INGN,96.28,701186,Healthcare
INGR,92.23,556284,Consumer Non-Cyclicals
INTC,53.35,18962954,Technology
INTU,250.54,1467724,Technology
INXN,65.3,803116,Technology
IONS,73.92,1375372,Healthcare
IQV,139.41,1423400,Healthcare
IR,105.37,1323756,Industrials
IRBT,122.97,817843,Technology
ISRG,542.95,516740,Healthcare
IT,144.16,632660,Technology
ITW,143.63,1073198,Industrials
JAZZ,133,639678,Healthcare
JBHT,104.61,1049875,Industrials
JEC,73.04,1232875,Industrials
JPM,104.35,9763235,Financials
K,54.15,4191058,Consumer Non-Cyclicals
KLAC,116.93,1446167,Technology
KMB,117.59,1248008,Consumer Non-Cyclicals
KMX,59.55,1618948,Consumer Cyclicals
KSS,69.55,2611018,Consumer Cyclicals
KSU,114.6,1241497,Industrials
LBRDK,89.6,558165,Consumer Cyclicals
LDOS,63.18,717355,Technology
LEA,147.2,517913,Consumer Cyclicals
LGND,110.98,568891,Healthcare
LH,149.01,503126,Healthcare
LIN,171.28,1188763,Basic Materials
LLL,210.32,500905,Industrials
LLY,123.5,61514588,Healthcare
LMT,304.4,1294422,Industrials
LNC,60.94,1356986,Financials
LNG,68,2367246,Energy
LOGM,81.26,587193,Technology
LOW,100.4,4598900,Consumer Cyclicals
LPLA,72.97,720630,Financials
LRCX,172.01,2029712,Technology
LULU,145.29,2086181,Consumer Cyclicals
LUV,51.61,6185725,Industrials
LVS,60.15,2383725,Consumer Cyclicals
LW,70.21,1504167,Consumer Non-Cyclicals
LYB,88.7,2089052,Basic Materials
LYV,62.24,1488215,Consumer Cyclicals
MA,225.64,2670194,Technology
MAR,120.25,2193304,Consumer Cyclicals
MCD,181.08,2071481,Consumer Cyclicals
MCHP,86.8,1348837,Technology
MCK,113.48,1231391,Consumer Non-Cyclicals
MCO,171.54,802005,Industrials
MDB,104.57,1314361,Technology
MDT,92,4639110,Healthcare
MEDP,52.86,560560,Healthcare
MELI,481.11,1142784,Technology
MGA,50.45,898857,Consumer Cyclicals
MGLN,64.33,707666,Healthcare
MHK,133.11,501602,Consumer Cyclicals
MIDD,127.57,623822,Consumer Cyclicals
MKC,139.08,860840,Consumer Non-Cyclicals
MKSI,80.33,613268,Industrials
MLM,198.63,505346,Basic Materials
MLNX,117.89,25164866,Technology
MMC,90.78,2254772,Financials
MMM,207.1,2385314,Industrials
MMP,60.16,1679618,Energy
MNST,61.19,4192734,Consumer Non-Cyclicals
MO,56.01,11709617,Consumer Non-Cyclicals
MOH,135.85,735103,Healthcare
MPC,59.2,6670482,Energy
MRK,80.87,8708675,Healthcare
MSCI,183.66,517158,Industrials
MSFT,112.83,26490852,Technology
MSI,141.45,1013672,Technology
MTB,169.09,866246,Financials
MTCH,53.58,1945313,Technology
MTN,220.53,849012,Consumer Cyclicals
MXIM,53.35,2059398,Technology
MYOK,52.38,867128,Healthcare
NBIX,80.02,864672,Healthcare
NCLH,55.46,2049677,Consumer Cyclicals
NDAQ,84.02,910786,Financials
NEE,189.5,1784092,Utilities
NEWR,104.14,527023,Technology
NFG,59.84,559658,Utilities
NFLX,358.86,5386159,Technology
NKE,85.82,3999751,Consumer Cyclicals
NOC,279.22,758812,Industrials
NOW,239.86,1991927,Technology
NSC,180.84,1312673,Industrials
NTAP,65.26,2186370,Technology
NTR,53.41,1278583,Basic Materials
NTRS,89.79,1127789,Financials
NUE,58.97,2691135,Basic Materials
NVDA,161.95,21203556,Technology
NVEE,58.01,785985,Industrials
NXPI,94.28,3117343,Technology
OKE,66.29,2291547,Energy
OKTA,80.93,2497034,Technology
OLED,151.99,778628,Technology
OLLI,80.57,800561,Consumer Cyclicals
OMC,75.51,2231548,Consumer Cyclicals
ONCE,113.98,2766119,Healthcare
ORCL,52.66,20027696,Technology
ORLY,366.34,501462,Consumer Cyclicals
OXY,63.88,3770211,Energy
PANW,240.88,1206454,Technology
PAYC,181.16,776157,Technology
PAYX,77.52,1727390,Industrials
PCAR,68.15,1800814,Industrials
PEG,58.67,3506029,Utilities
PEP,116.59,4821824,Consumer Non-Cyclicals
PFG,50.59,1790533,Financials
PFPT,116.93,726504,Technology
PG,99.58,7544634,Consumer Non-Cyclicals
PGR,72.85,1901728,Financials
PH,172.09,577225,Industrials
PII,85.96,556881,Consumer Cyclicals
PKG,97.79,1165912,Basic Materials
PKI,92.92,519233,Healthcare
PLNT,65.73,1263368,Consumer Cyclicals
PM,89.24,6022469,Consumer Non-Cyclicals
PNC,128.56,2546541,Financials
POR,52.02,893124,Utilities
PPG,111.3,1180256,Basic Materials
PRAH,102.51,521733,Healthcare
PRU,94.56,1976626,Financials
PSX,96.67,2257371,Energy
PSXP,51.4,737782,Energy
PTC,90.42,790251,Technology
PVH,111.99,601993,Consumer Cyclicals
PXD,132.44,1609994,Energy
PYPL,97.45,5387479,Technology
QCOM,54.35,10738838,Technology
QRVO,69.37,939770,Technology
QSR,62.4,1472144,Consumer Cyclicals
QURE,65.23,770082,Healthcare
R,60.91,1014843,Industrials
RAMP,60.1,1290307,Technology
RARE,64.98,599696,Healthcare
RCL,116.88,740881,Consumer Cyclicals
REGN,412.05,874204,Healthcare
RGNX,56.51,588186,Healthcare
RHI,65.01,953442,Industrials
RHT,181.79,784719,Technology
RJF,81,965893,Financials
RL,123.46,566111,Consumer Cyclicals
RMD,101.4,1100114,Healthcare
RNG,104.56,973618,Technology
ROK,178.38,687363,Industrials
ROKU,74.12,9828637,Consumer Cyclicals
ROST,90.74,2375160,Consumer Cyclicals
RS,87.86,537852,Basic Materials
RSG,78.48,826854,Industrials
RTN,182.14,1391632,Industrials
RY,76.92,1221109,Financials
SAVE,53.07,1242459,Industrials
SBUX,69.68,11518179,Consumer Cyclicals
SGEN,70.96,783267,Healthcare
SHOP,200.39,2058479,Technology
SHW,427.99,559093,Basic Materials
SINA,58.57,864075,Technology
SITE,52.26,558900,Consumer Non-Cyclicals
SJM,103.13,903295,Consumer Non-Cyclicals
SMTC,54.36,827917,Technology
SNPS,105.41,1475717,Technology
SO,51.4,5686202,Utilities
SPB,56.32,613614,Consumer Cyclicals
SPGI,197.24,856063,Industrials
SPLK,125.81,2155330,Technology
SPOT,146.36,1523928,Technology
SPR,92.84,3478307,Industrials
SQ,75.53,7894785,Technology
SRE,123.19,1161541,Utilities
SRPT,134.39,1233962,Healthcare
SSNC,62.33,1457647,Technology
STI,63.85,3516786,Financials
STMP,88.31,607555,Technology
STT,68.69,1853080,Financials
STZ,168.33,1043491,Consumer Non-Cyclicals
SWK,132.55,1056008,Industrials
SWKS,81.48,1134119,Technology
SYK,189.22,819745,Healthcare
SYY,66.46,1955322,Consumer Non-Cyclicals
TAP,60.1,1140521,Consumer Non-Cyclicals
TCBI,59.26,643483,Financials
TD,56.09,747371,Financials
TDG,432.86,657479,Industrials
TDOC,58.74,1257907,Healthcare
TEAM,109.51,1533049,Technology
TECD,101.13,704762,Consumer Cyclicals
TEL,82.86,1028944,Industrials
TGT,76.27,3435831,Consumer Cyclicals
THO,66.12,836098,Consumer Cyclicals
TIF,96.28,956471,Consumer Cyclicals
TJX,51.7,5823112,Consumer Cyclicals
TLRY,70,1617850,Healthcare
TMK,82.09,578341,Financials
TMO,254.32,1589311,Healthcare
TMUS,71.47,2493087,Telecommunications Services
TNDM,65.28,1901097,Healthcare
TNET,60.73,501985,Industrials
TPX,57.24,570251,Consumer Cyclicals
TRHC,62.64,994786,Healthcare
TRI,54.65,513878,Industrials
